		Filename	Accession	Sample ID	Family ID	Population Abbreviation	Population Descriptor	Biosample Accession	Platform	Instrument Model	Basecaller	Basecaller Model	Basecaller Version	Bioproject Accession	CCS Algorithm	Filetype	Generator Contact	Generator Facility	Library Source	Library Strategy	MM Tag	N50	100kb+	Path	Study	Total Gbp	Total Reads	Whales
		m54329U_200124_193652.ccs.bam	SRR13684280	HG01891	Unspecified	ACB	African Caribbean in Barbados	SAMN17861236	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	17016	N/A	s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_HiFi/m54329U_200124_193652.ccs.bam	SRP305758	27.12	1596347	N/A
		m54329U_200127_180554.ccs.bam	SRR13684280	HG01891	Unspecified	ACB	African Caribbean in Barbados	SAMN17861236	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	17054	N/A	s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_HiFi/m54329U_200127_180554.ccs.bam	SRP305758	29.88	1755465	N/A
		m54329U_200129_001928.ccs.bam	SRR13684280	HG01891	Unspecified	ACB	African Caribbean in Barbados	SAMN17861236	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	16994	N/A	s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_HiFi/m54329U_200129_001928.ccs.bam	SRP305758	30.2	1779732	N/A
		m54329U_200130_064539.ccs.bam	SRR13684280	HG01891	Unspecified	ACB	African Caribbean in Barbados	SAMN17861236	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	17094	N/A	s3://human-pangenomics/working/HPRC/HG01891/raw_data/PacBio_HiFi/m54329U_200130_064539.ccs.bam	SRP305758	27.92	1636421	N/A
		m54329U_200201_051510.ccs.bam	SRR13684290	HG01123	Unspecified	CLM	Colombian in Medellin, Colombia	SAMN17861232	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	16821	N/A	s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200201_051510.ccs.bam	SRP305758	34.55	2072143	N/A
		m54329U_200203_181235.ccs.bam	SRR13684290	HG01123	Unspecified	CLM	Colombian in Medellin, Colombia	SAMN17861232	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	16722	N/A	s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200203_181235.ccs.bam	SRP305758	27.01	1629549	N/A
		m54329U_200205_002609.ccs.bam	SRR13684290	HG01123	Unspecified	CLM	Colombian in Medellin, Colombia	SAMN17861232	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	16694	N/A	s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200205_002609.ccs.bam	SRP305758	23.97	1449219	N/A
		m54329U_200206_215926.ccs.bam	SRR13684290	HG01123	Unspecified	CLM	Colombian in Medellin, Colombia	SAMN17861232	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	17025	N/A	s3://human-pangenomics/working/HPRC/HG01123/raw_data/PacBio_HiFi/m54329U_200206_215926.ccs.bam	SRP305758	33.87	2004290	N/A
		m54329U_200211_192235.ccs.bam	SRR13684288	HG02559	Unspecified	ACB	African Caribbean in Barbados	SAMN17861239	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	19960	N/A	s3://human-pangenomics/working/HPRC/HG02559/raw_data/PacBio_HiFi/m54329U_200211_192235.ccs.bam	SRP305758	6.84	346033	N/A
		m54329U_200215_021808.ccs.bam	SRR13684278	HG02486	Unspecified	ACB	African Caribbean in Barbados	SAMN17861238	PACBIO_SMRT	Sequel II	N/A	N/A	N/A	PRJNA701308	4.0.0	bam	kmiyamot@uw.edu	University of Washington	GENOMIC	WGS	false	19709	N/A	s3://human-pangenomics/working/HPRC/HG02486/raw_data/PacBio_HiFi/m54329U_200215_021808.ccs.bam	SRP305758	18.06	911631	N/A
